Campaign_Name,Channel,Spend,Impressions,Clicks,Conversions,Revenue,Start_Date,End_Date,Campaign_Type,Region
Diaz-Kelley,Social Media,1509.55,114130,6930,373,13650.6,2022-08-02,2023-04-02,Conversion,North America
Blake-Ellis,TV,4952.68,353965,5568,491,14329.81,2024-08-04,2024-08-20,Awareness,South America
Ramirez LLC,Search Engine,2193.27,90214,7116,1549,52346.14,2023-05-21,2024-07-19,Awareness,Europe
Clarke-Waters,Email,849.93,48698,3909,570,66259.52,2023-02-11,2024-08-30,Awareness,India
"Butler, Rice and Perez",Social Media,2868.89,137595,13051,1448,37349.38,2022-02-18,2023-03-18,Retargeting,South America
Parrish and Sons,Search Engine,3189.58,143786,15686,2781,145400.83,2022-06-10,2023-10-02,Conversion,Europe
Hoffman Ltd,TV,2240.49,117345,3878,298,22727.31,2024-10-06,2024-11-28,Retargeting,Europe
West and Sons,Email,240.6,12494,950,284,4332.55,2023-11-23,2024-08-26,Retargeting,Asia
Perez Ltd,Email,657.21,20270,1234,296,9033.36,2024-09-05,2024-12-16,Retargeting,North America
"Walker, Harris and Gonzalez",Email,749.71,34096,2712,957,26985.87,2023-05-13,2024-03-05,Retargeting,North America
"Cook, Harrison and Sullivan",Search Engine,1411.92,102256,6438,1038,19685.96,2022-06-01,2022-09-01,Retargeting,India
Price-Velez,TV,4879.26,355324,24243,1402,106474.27,2023-01-21,2024-08-20,Awareness,Europe
Brown Ltd,TV,4811.06,503810,10822,917,57234.62,2022-10-24,2023-08-16,Conversion,North America
"Craig, Lewis and Miller",Radio,5110.76,119623,1679,128,3415.88,2023-06-07,2024-01-30,Awareness,Asia
Torres-Stewart,Social Media,2067.84,143175,8053,1180,111882.89,2022-12-15,2024-09-06,Conversion,North America
"Porter, Collins and Harris",Search Engine,1660.45,92493,6452,655,42153.02,2023-11-17,2024-11-17,Retargeting,Europe
Pacheco and Sons,Social Media,2431.52,112585,9809,858,21787.35,2024-01-19,2024-08-01,Conversion,Asia
"Wheeler, Mitchell and Underwood",Radio,4691.51,375802,11768,320,20055.28,2024-02-24,2024-05-30,Awareness,North America
Smith Inc,Social Media,2125.1,134818,13120,2796,39504.92,2022-03-10,2022-07-02,Retargeting,South America
Dean-Martinez,Social Media,2855.1,185786,9886,1826,38047.67,2024-01-02,2024-05-09,Conversion,Asia
Roberts Inc,TV,1222.76,68694,1749,95,4806.35,2023-12-06,2024-01-03,Retargeting,Asia
Madden-Vega,Email,587.65,41415,2740,731,29646.57,2022-04-03,2023-01-08,Retargeting,India
Bush-Washington,Search Engine,3765.78,199338,12540,1814,161905.52,2023-08-20,2024-04-24,Conversion,India
Stewart PLC,Search Engine,3264.57,191568,17328,4177,189613.58,2022-11-13,2023-12-29,Awareness,Asia
Perez-Garner,Search Engine,2417.82,102208,5998,1191,34810.38,2024-10-09,2024-10-21,Conversion,South America
"Hill, Olson and Terry",TV,5154.56,267540,6062,518,20767.33,2023-05-13,2023-10-09,Awareness,North America
Jordan Group,Radio,4495.69,283261,10411,521,11720.06,2021-11-27,2024-05-11,Awareness,Asia
Patton Group,Search Engine,2655.49,137599,17350,1657,65528.52,2023-04-24,2024-08-04,Conversion,South America
Ford PLC,Email,447.36,16889,980,266,2784.6,2023-02-12,2024-03-25,Awareness,Europe
Mays-Cook,TV,2701.11,196103,8316,473,45209.58,2023-06-26,2024-05-01,Awareness,Europe
Diaz Inc,Search Engine,3083.5,111442,11055,2102,93948.0,2024-09-21,2024-10-17,Conversion,India
"Taylor, Miller and Bernard",Social Media,535.09,35164,3499,274,23540.42,2023-03-27,2023-04-09,Conversion,India
Brown PLC,Radio,3396.25,322614,6798,471,36513.5,2024-01-21,2024-08-20,Retargeting,Europe
Turner-Fernandez,Search Engine,4114.61,180143,14049,1919,95082.26,2023-02-15,2024-08-27,Awareness,North America
Greer Inc,Radio,2185.36,206136,9875,689,40408.34,2023-03-07,2024-06-05,Retargeting,North America
"Hutchinson, Mack and Fowler",Search Engine,1420.37,98420,3570,1179,24899.75,2024-02-26,2024-12-21,Retargeting,India
"Smith, Fry and Griffin",Email,721.94,21247,1703,315,31756.35,2024-09-07,2024-09-25,Retargeting,South America
Ross-Rogers,Search Engine,2150.22,108113,15018,1531,30673.71,2023-01-24,2024-05-13,Awareness,North America
"Webster, Frank and Miller",Search Engine,3581.09,262095,18871,3540,109147.5,2022-05-09,2024-05-31,Awareness,Europe
Martinez Ltd,Email,657.96,29158,4609,768,58942.81,2024-03-14,2024-08-22,Retargeting,Europe
Hernandez-Reid,TV,2408.2,127043,7742,625,9307.39,2022-02-10,2023-11-03,Retargeting,South America
"Vasquez, Armstrong and Brown",TV,1164.46,75453,836,31,930.35,2023-06-17,2024-11-30,Retargeting,South America
Guzman and Sons,Social Media,3010.54,93767,10376,1635,67970.27,2022-05-28,2022-11-23,Retargeting,South America
"Lopez, Townsend and Goodman",Radio,4062.72,191264,6987,181,6575.37,2024-09-14,2024-12-14,Conversion,South America
Richardson-Nelson,Radio,2362.69,219850,4436,311,21734.13,2022-04-21,2024-09-05,Conversion,Asia
Wright PLC,Email,567.22,17469,1153,278,18744.41,2022-03-09,2024-08-30,Retargeting,North America
"Carter, Nelson and Smith",TV,2519.57,247294,4041,176,9237.02,2022-12-18,2023-05-12,Conversion,North America
"Moreno, Taylor and Mitchell",Search Engine,2826.87,157903,15948,1768,115634.57,2023-11-23,2023-12-02,Conversion,Asia
Williams-Montgomery,TV,3644.38,236747,10164,470,21291.95,2022-11-16,2024-06-19,Awareness,North America
Ward-Little,Email,652.89,28854,2647,380,25210.84,2024-05-23,2024-10-18,Conversion,India
Knight-Alvarado,Search Engine,2418.35,123080,10523,1686,149517.46,2024-01-10,2024-10-17,Conversion,South America
Richardson Group,Search Engine,1783.41,99184,7395,1472,34432.58,2022-02-18,2024-10-07,Awareness,South America
Navarro LLC,Search Engine,3369.18,141636,6584,803,31209.14,2021-12-02,2022-01-25,Conversion,India
"Stewart, Dudley and Ramirez",Email,207.86,6820,912,163,13761.62,2024-07-23,2024-07-28,Conversion,South America
Gilmore Group,TV,2288.05,230991,3766,244,15017.67,2022-05-10,2023-07-09,Conversion,Asia
"Moore, Fox and Turner",Social Media,2747.58,150607,15235,1374,58538.91,2024-07-06,2024-10-30,Awareness,Asia
Mcgrath-Wright,Email,957.34,35477,4820,619,21741.78,2023-10-21,2024-02-02,Conversion,North America
Martinez PLC,TV,1146.83,102390,1754,190,16347.0,2022-01-16,2022-04-28,Conversion,India
Wilson LLC,Email,879.85,22952,1521,476,26787.16,2023-12-22,2024-07-13,Conversion,India
Wood Group,Search Engine,3151.07,162791,7401,2320,181595.33,2024-03-26,2024-12-13,Awareness,Asia
Atkins Inc,Social Media,1570.33,92527,4323,527,10532.28,2022-05-25,2024-10-08,Retargeting,Asia
Romero-Reynolds,Search Engine,1109.31,50971,4031,756,47596.65,2023-12-22,2024-08-29,Awareness,India
Huynh LLC,Search Engine,3955.52,65363,3225,765,3214.07,2023-03-10,2024-07-15,Awareness,South America
"Daniel, Lopez and Hudson",Radio,3145.86,260936,12954,339,19326.46,2021-11-23,2023-08-20,Conversion,South America
Prince and Sons,Social Media,1479.46,68581,6883,402,14280.67,2023-07-24,2023-10-03,Awareness,Asia
"Martin, Savage and James",Social Media,2163.66,198963,11472,1820,20823.31,2023-02-15,2024-09-11,Awareness,Asia
"Brady, Miles and Martin",Radio,3980.91,252915,10457,386,5624.55,2023-05-16,2024-10-25,Awareness,Europe
"Mckee, Wilson and Daniel",TV,3589.85,218736,3174,222,10317.67,2024-04-02,2024-06-13,Retargeting,Europe
Mcmillan PLC,Email,674.75,30405,2692,397,30879.21,2022-02-24,2024-01-10,Retargeting,North America
"Stevenson, Vasquez and Webster",Social Media,1066.47,63701,4196,795,74526.76,2022-11-29,2023-06-02,Conversion,Europe
"Krause, Robles and Casey",Search Engine,2053.34,128611,6332,2054,65297.5,2022-06-07,2024-03-02,Awareness,India
Johnson-Reed,Email,548.05,21448,1561,215,4247.38,2024-10-01,2024-11-01,Conversion,North America
Fuller-Sullivan,Radio,2162.7,131519,5652,286,8623.96,2022-09-30,2024-01-22,Awareness,India
Miller Group,Search Engine,2439.87,134068,14747,3068,271470.96,2024-07-28,2024-08-10,Conversion,India
Gallagher-Armstrong,Search Engine,4066.07,216784,29059,3700,172881.42,2023-08-12,2024-11-29,Conversion,India
Buckley-Watkins,Social Media,894.88,40484,4702,486,9513.46,2023-04-10,2023-08-28,Awareness,South America
Serrano-Davis,Radio,3010.33,279308,13271,816,39633.55,2023-07-25,2024-02-27,Conversion,North America
"Morgan, Mendez and Hill",Email,993.07,26592,2442,446,20748.64,2021-11-22,2024-09-28,Conversion,North America
"Johns, Smith and Gray",Social Media,914.86,49191,4944,943,79831.99,2023-09-04,2024-01-19,Retargeting,Europe
Johnson Inc,TV,1394.55,110565,5155,169,6695.36,2023-06-15,2023-11-17,Retargeting,India
"Skinner, Hill and Reynolds",Email,1007.22,24312,1908,435,35155.11,2022-06-19,2022-08-06,Awareness,North America
Mendoza PLC,Email,432.98,14189,1283,204,7678.57,2023-02-26,2023-03-08,Awareness,South America
"Guzman, Alvarez and Oneill",Social Media,1265.69,52079,4568,356,12329.09,2024-10-03,2024-11-01,Conversion,India
Johnson LLC,Search Engine,2534.86,111156,15655,1667,38293.67,2022-06-13,2023-11-04,Conversion,Europe
Thompson Ltd,Radio,1052.57,122330,1751,143,6668.96,2022-08-01,2023-12-21,Retargeting,India
Robinson-Robinson,TV,3062.27,279603,8499,448,41589.45,2022-08-16,2023-02-15,Awareness,Asia
Buchanan-Sherman,Search Engine,3841.07,256066,12021,2267,185462.0,2022-12-26,2024-04-07,Conversion,South America
Mitchell LLC,Search Engine,2183.49,129244,8582,2680,32123.71,2024-01-17,2024-02-20,Retargeting,Europe
Williams-Michael,TV,4524.0,296518,6823,331,12500.76,2024-04-25,2024-06-18,Conversion,Europe
Lambert-Mendez,TV,3160.72,248487,3590,181,5754.82,2023-05-07,2023-12-30,Conversion,North America
Allen PLC,Social Media,1065.05,53151,4121,554,6180.0,2022-09-28,2024-12-09,Retargeting,Europe
Cain-Ayers,TV,14133.44,186813,9249,622,1602.65,2022-07-03,2023-07-11,Conversion,India
"Stanley, Anderson and Perez",Email,801.79,21120,2387,825,31320.57,2024-05-13,2024-05-30,Awareness,South America
Johnson-Melendez,Radio,1729.11,199368,4662,208,6847.08,2024-03-30,2024-04-04,Retargeting,Europe
Miller Ltd,Search Engine,3071.23,189755,11877,1584,156693.63,2024-04-08,2024-07-27,Conversion,India
Carr LLC,Email,283.82,8092,871,141,8488.01,2023-03-12,2024-10-16,Awareness,Europe
Ward PLC,Email,619.13,23766,3540,612,57442.38,2024-04-19,2024-08-05,Retargeting,North America
"Knight, Sanchez and Scott",TV,3682.15,272044,6269,780,40824.66,2023-04-28,2023-07-10,Retargeting,India
Ryan Ltd,Email,792.66,24689,5081,1052,93797.49,2023-11-06,2024-03-20,Retargeting,India
Smith Ltd,Radio,15297.38,313884,9812,365,6632.69,2021-12-14,2022-07-06,Retargeting,Asia
"Rodriguez, Meza and Mann",Email,419.01,13144,2003,395,28510.87,2022-05-11,2023-05-12,Conversion,India
"Atkins, Smith and Bender",TV,2246.58,194377,7781,401,34140.47,2021-11-26,2023-10-09,Awareness,India
Williams-Miller,Email,666.31,31808,2478,447,16460.05,2024-11-06,2024-12-17,Awareness,Europe
Johnson PLC,Email,632.44,21091,2923,390,22693.53,2021-11-28,2022-12-03,Retargeting,North America
"Mccall, Bauer and Buckley",Search Engine,1457.43,65004,4432,1096,59167.42,2022-12-26,2023-12-27,Awareness,North America
Mcclure-Adams,Social Media,2755.51,115626,15044,2200,97978.21,2024-06-22,2024-07-09,Awareness,South America
Lee-Anderson,Social Media,1927.93,78949,7490,1023,9024.3,2022-12-23,2022-12-29,Conversion,Europe
Morris-Bryant,TV,3204.35,248309,2790,193,14708.25,2021-12-05,2022-05-14,Retargeting,Europe
"Edwards, Gibson and Sanchez",Email,396.34,20685,1739,615,7660.18,2024-02-03,2024-07-06,Retargeting,South America
"Freeman, Ross and Mccormick",Email,878.71,44799,5348,745,58002.39,2022-11-11,2024-08-25,Conversion,Asia
"Williams, Lopez and Benson",TV,2808.19,213137,13632,736,21813.3,2023-03-09,2023-09-19,Conversion,North America
Long-Bradley,TV,4767.9,293718,10875,956,73459.79,2023-04-29,2023-08-12,Conversion,South America
"Kennedy, Hansen and Tyler",TV,2725.27,222579,3486,107,2806.44,2022-09-19,2023-12-11,Retargeting,India
Greene Group,Search Engine,3504.89,188884,8737,1156,13810.07,2022-09-01,2024-08-04,Conversion,South America
Freeman-Carey,Social Media,2259.79,78215,4885,631,67760.33,2022-10-05,2023-03-14,Retargeting,India
Kelly Ltd,Radio,1310.18,113804,5095,503,38145.69,2023-08-20,2024-05-15,Retargeting,South America
Aguilar Group,TV,1492.71,122895,2068,81,9119.97,2022-07-14,2024-07-30,Retargeting,South America
Cross-Melton,Radio,3291.85,201926,4462,295,5098.94,2023-06-09,2023-08-31,Conversion,North America
Moore-Solomon,TV,4522.75,373295,12178,612,32504.96,2022-01-30,2023-07-31,Awareness,Asia
Baker Group,TV,2472.71,136493,1663,34,854.89,2022-06-20,2024-11-06,Awareness,Europe
Miller LLC,Email,897.84,38290,4142,1237,15995.02,2023-01-21,2024-04-22,Retargeting,North America
Newton-Baker,TV,2490.13,154555,2987,136,1673.97,2024-04-07,2024-11-28,Conversion,South America
Kim LLC,Email,703.08,11729,1154,426,14671.71,2022-02-27,2022-07-24,Awareness,South America
Woods-Baker,Radio,3335.79,335094,6027,369,16960.48,2024-07-26,2024-08-15,Conversion,Asia
Craig Ltd,TV,3669.37,195925,8446,704,43451.66,2024-10-23,2024-12-20,Retargeting,Asia
"Hester, Park and Moore",TV,2847.06,199693,6935,630,40258.79,2022-05-14,2023-11-08,Retargeting,Asia
"Perry, Calderon and Erickson",Radio,2199.76,153866,1543,146,9816.41,2024-01-27,2024-05-24,Awareness,India
Roberts-Olson,Search Engine,2286.81,101673,9757,2007,181373.59,2022-08-04,2023-10-18,Retargeting,North America
Rogers-Bowers,Search Engine,14181.22,219598,10733,2246,9087.18,2022-05-11,2023-08-12,Awareness,Europe
"Ochoa, Scott and Wilson",Radio,2306.35,153554,4726,320,14528.6,2024-07-21,2024-09-03,Conversion,South America
Stuart-Gardner,Search Engine,3312.43,169121,12615,3265,59121.16,2022-10-28,2024-12-08,Retargeting,Europe
"Collins, Ortiz and Carr",Radio,2484.21,299293,12411,862,47830.36,2024-06-27,2024-12-06,Retargeting,Europe
"Yates, Carpenter and Franco",TV,4709.47,481114,13758,1257,108460.62,2022-08-30,2023-11-23,Conversion,Asia
Massey and Sons,Email,351.67,14380,1208,223,12589.48,2022-06-20,2024-05-26,Conversion,India
"Arellano, Lopez and Ibarra",Email,777.68,47402,2255,571,23300.32,2024-10-20,2024-12-14,Awareness,South America
"Owen, Price and Cohen",Social Media,2043.53,180300,6778,418,24918.16,2023-07-26,2024-10-20,Retargeting,North America
"Burton, Nichols and Baldwin",Radio,3870.34,308755,13695,1146,98969.37,2023-12-21,2024-07-14,Retargeting,Asia
Martin and Sons,TV,2271.48,270100,5465,374,37623.37,2022-02-07,2023-09-11,Conversion,Europe
Waller Group,Social Media,2070.01,146775,6295,1124,92840.15,2024-08-02,2024-10-01,Retargeting,South America
Decker LLC,Social Media,1718.21,73324,7161,460,19438.62,2021-11-24,2021-11-24,Awareness,India
